Theta_T,Theta_S,Alpha,Beta,Gamma,Avg_TR_F1,Avg_Cluster_ARI_All,Avg_Cluster_ARI_GT_Only
0.4,0.6,0.5,0.35,0.15,0.5922,0.0508,0.75
0.35,0.7,0.55,0.3,0.15,0.4843,-0.0083,0.75
0.4,0.55,0.55,0.4,0.05,0.5922,0.0564,0.75
0.4,0.6,0.5,0.45,0.05,0.5922,0.0564,0.75
0.4,0.6,0.5,0.4,0.1,0.5922,0.0564,0.75
0.4,0.6,0.55,0.4,0.05,0.5922,0.0564,0.75
0.4,0.6,0.65,0.25,0.1,0.5922,0.0508,0.75
0.4,0.6,0.6,0.35,0.05,0.5922,0.0564,0.75
0.4,0.6,0.6,0.3,0.1,0.5922,0.0508,0.75
0.4,0.6,0.75,0.2,0.05,0.5922,0.0564,0.75
0.4,0.6,0.7,0.25,0.05,0.5922,0.0564,0.75
0.4,0.6,0.7,0.2,0.1,0.5922,0.0508,0.75
0.4,0.6,0.65,0.3,0.05,0.5922,0.0564,0.75
0.4,0.65,0.5,0.3,0.2,0.5922,0.0404,0.75
0.4,0.6,0.8,0.15,0.05,0.5922,0.0564,0.75
0.4,0.65,0.5,0.35,0.15,0.5922,0.0468,0.75
0.25,0.7,0.5,0.3,0.2,0.2716,-0.0127,0.75
0.4,0.6,0.55,0.35,0.1,0.5922,0.0564,0.75
0.3,0.7,0.55,0.3,0.15,0.3941,-0.0321,0.75
0.4,0.65,0.55,0.3,0.15,0.5922,0.0445,0.75
0.4,0.65,0.55,0.25,0.2,0.5922,0.0445,0.75
0.45,0.55,0.65,0.3,0.05,0.6819,0.15,0.75
0.35,0.65,0.6,0.35,0.05,0.4843,-0.0031,0.75
0.35,0.65,0.7,0.25,0.05,0.4843,-0.0031,0.75
0.45,0.55,0.65,0.25,0.1,0.6819,0.15,0.75
0.45,0.55,0.6,0.35,0.05,0.6819,0.15,0.75
0.45,0.55,0.65,0.2,0.15,0.6819,0.15,0.75
0.45,0.55,0.6,0.3,0.1,0.6819,0.15,0.75
0.35,0.65,0.75,0.2,0.05,0.4843,-0.009,0.75
0.4,0.55,0.5,0.45,0.05,0.5922,0.0564,0.75
0.35,0.65,0.65,0.3,0.05,0.4843,-0.0031,0.75
0.35,0.65,0.5,0.45,0.05,0.4843,-0.0197,0.75
0.35,0.65,0.55,0.4,0.05,0.4843,-0.0031,0.75
0.35,0.65,0.5,0.4,0.1,0.4843,0.0187,0.75
0.45,0.5,0.55,0.4,0.05,0.6819,0.15,0.75
0.45,0.5,0.55,0.35,0.1,0.6819,0.15,0.75
0.45,0.5,0.55,0.3,0.15,0.6819,0.15,0.75
0.4,0.65,0.7,0.2,0.1,0.5922,0.0484,0.75
0.4,0.65,0.75,0.15,0.1,0.5922,0.0484,0.75
0.4,0.65,0.8,0.15,0.05,0.5922,0.0508,0.75
0.45,0.5,0.5,0.3,0.2,0.6819,0.15,0.75
0.45,0.5,0.5,0.35,0.15,0.6819,0.15,0.75
0.45,0.5,0.5,0.4,0.1,0.6819,0.15,0.75
0.45,0.5,0.5,0.45,0.05,0.6819,0.15,0.75
0.45,0.5,0.55,0.25,0.2,0.6819,0.15,0.75
0.4,0.65,0.55,0.35,0.1,0.5922,0.0556,0.75
0.2,0.7,0.65,0.25,0.1,0.1773,-0.019,0.75
0.2,0.7,0.6,0.25,0.15,0.1773,-0.0253,0.75
0.45,0.5,0.8,0.15,0.05,0.6819,0.15,0.75
0.4,0.65,0.6,0.25,0.15,0.5922,0.0445,0.75
0.4,0.65,0.6,0.3,0.1,0.5922,0.0508,0.75
0.4,0.65,0.65,0.2,0.15,0.5922,0.0484,0.75
0.4,0.65,0.65,0.25,0.1,0.5922,0.0508,0.75
0.45,0.5,0.7,0.2,0.1,0.6819,0.15,0.75
0.45,0.5,0.7,0.25,0.05,0.6819,0.15,0.75
0.45,0.5,0.75,0.15,0.1,0.6819,0.15,0.75
0.45,0.5,0.75,0.2,0.05,0.6819,0.15,0.75
0.45,0.5,0.6,0.35,0.05,0.6819,0.15,0.75
0.45,0.5,0.65,0.3,0.05,0.6819,0.15,0.75
0.45,0.5,0.65,0.2,0.15,0.6819,0.15,0.75
0.45,0.5,0.65,0.25,0.1,0.6819,0.15,0.75
0.2,0.7,0.5,0.3,0.2,0.1773,-0.0018,0.75
0.45,0.5,0.6,0.25,0.15,0.6819,0.15,0.75
0.45,0.5,0.6,0.3,0.1,0.6819,0.15,0.75
0.45,0.55,0.7,0.2,0.1,0.6819,0.15,0.75
0.45,0.55,0.7,0.25,0.05,0.6819,0.15,0.75
